Running script: v5_neural_vae.py
Loading configuration from C:\Users\schot\Neural_VAE_ODE\runs\2026-02-20_172318_6880b5b\config.txt
Device: cuda
PCA reduced 375 → 129 dims (95.02% variance)
Selecting 100 landmark trials (greedy coverage)...
Subsampled to 100 sequences.
Built sequences: B=100, :=120, N=129
      valid loss 2.05674 | recon 2.01020 | kl 2.27770 | smooth 1.31380 | trans 0.03224 | lle 0.00010 | R² 0.4164
[053] train loss 0.73080 | recon 0.65415 | kl 3.78634 | smooth 1.33095 | trans 0.02545 | lle 0.00058 | beta 0.020
      valid loss 1.99594 | recon 1.94732 | kl 2.38216 | smooth 1.29444 | trans 0.03224 | lle 0.00010 | R² 0.4347
[054] train loss 0.69554 | recon 0.61915 | kl 3.77301 | smooth 1.34261 | trans 0.02553 | lle 0.00061 | beta 0.020
      valid loss 2.14224 | recon 2.10245 | kl 1.94070 | smooth 1.29879 | trans 0.03225 | lle 0.00011 | R² 0.3897
[055] train loss 0.72198 | recon 0.64987 | kl 3.55814 | smooth 1.35803 | trans 0.02568 | lle 0.00058 | beta 0.020
      valid loss 2.18874 | recon 2.13289 | kl 2.74056 | smooth 1.41964 | trans 0.03224 | lle 0.00010 | R² 0.3808
[056] train loss 0.65691 | recon 0.58616 | kl 3.48989 | smooth 1.37615 | trans 0.02559 | lle 0.00061 | beta 0.020
      valid loss 2.02129 | recon 1.98163 | kl 1.93287 | smooth 1.36121 | trans 0.03224 | lle 0.00010 | R² 0.4247
[057] train loss 0.68702 | recon 0.61951 | kl 3.32757 | smooth 1.39682 | trans 0.02541 | lle 0.00061 | beta 0.020
      valid loss 1.97823 | recon 1.93451 | kl 2.13513 | smooth 1.39172 | trans 0.03223 | lle 0.00009 | R² 0.4384
[058] train loss 0.67640 | recon 0.60010 | kl 3.76664 | smooth 1.39810 | trans 0.02549 | lle 0.00055 | beta 0.020
      valid loss 1.96669 | recon 1.91654 | kl 2.45583 | smooth 1.41376 | trans 0.03223 | lle 0.00010 | R² 0.4436
[059] train loss 0.64565 | recon 0.57020 | kl 3.72405 | smooth 1.41393 | trans 0.02545 | lle 0.00062 | beta 0.020
      valid loss 1.96827 | recon 1.92329 | kl 2.19831 | smooth 1.37887 | trans 0.03223 | lle 0.00011 | R² 0.4417
[060] train loss 0.63151 | recon 0.56251 | kl 3.40100 | smooth 1.44507 | trans 0.02515 | lle 0.00058 | beta 0.020
      valid loss 2.04106 | recon 1.99383 | kl 2.30909 | smooth 1.45411 | trans 0.03223 | lle 0.00009 | R² 0.4212
[061] train loss 0.64856 | recon 0.57853 | kl 3.45206 | smooth 1.44275 | trans 0.02548 | lle 0.00065 | beta 0.020
      valid loss 1.96721 | recon 1.92193 | kl 2.21258 | smooth 1.41906 | trans 0.03223 | lle 0.00011 | R² 0.4421
