Running script: v6_neural_vae.py
Loading configuration from C:\Users\schot\Neural_VAE_ODE\src\config.txt
Device: cuda
PCA disabled → using raw ROI with N=375
Selecting 100 landmark trials (greedy coverage)...
Subsampled to 100 sequences.
Built sequences: B=100, :=120, N=375
[079] train loss 0.64600 | recon 0.59069 | kl 2.68683 | smooth 2.04131 | trans 0.05393 | lle 0.00079 | beta 0.020
      valid loss 6.47277 | recon 6.41929 | kl 2.58889 | smooth 1.53621 | trans 0.09424 | lle 0.00011 | R² 0.0610
[080] train loss 0.63103 | recon 0.57700 | kl 2.62269 | smooth 2.05678 | trans 0.05448 | lle 0.00078 | beta 0.020
      valid loss 6.43940 | recon 6.38700 | kl 2.53404 | smooth 1.54952 | trans 0.09424 | lle 0.00010 | R² 0.0657
[081] train loss 0.62592 | recon 0.56822 | kl 2.80460 | smooth 2.11087 | trans 0.05451 | lle 0.00083 | beta 0.020
      valid loss 6.47628 | recon 6.41744 | kl 2.85504 | smooth 1.58269 | trans 0.09424 | lle 0.00011 | R² 0.0612
[082] train loss 0.63205 | recon 0.57484 | kl 2.78009 | smooth 2.11047 | trans 0.05459 | lle 0.00080 | beta 0.020
      valid loss 6.44464 | recon 6.38165 | kl 3.06269 | smooth 1.58371 | trans 0.09423 | lle 0.00012 | R² 0.0665
[083] train loss 0.60502 | recon 0.54983 | kl 2.68000 | smooth 2.09398 | trans 0.05287 | lle 0.00074 | beta 0.020
      valid loss 6.39432 | recon 6.32855 | kl 3.20204 | smooth 1.58408 | trans 0.09423 | lle 0.00011 | R² 0.0742
[084] train loss 0.67946 | recon 0.62019 | kl 2.88357 | smooth 2.10028 | trans 0.05389 | lle 0.00074 | beta 0.020
      valid loss 6.44382 | recon 6.37834 | kl 3.18759 | smooth 1.58220 | trans 0.09423 | lle 0.00011 | R² 0.0670
[085] train loss 0.63289 | recon 0.57670 | kl 2.72901 | smooth 2.10911 | trans 0.05467 | lle 0.00082 | beta 0.020
      valid loss 6.44900 | recon 6.38061 | kl 3.33170 | smooth 1.62627 | trans 0.09423 | lle 0.00012 | R² 0.0666
[086] train loss 0.61680 | recon 0.55971 | kl 2.77338 | smooth 2.13777 | trans 0.05429 | lle 0.00084 | beta 0.020
      valid loss 6.38751 | recon 6.32175 | kl 3.20031 | smooth 1.61289 | trans 0.09424 | lle 0.00011 | R² 0.0752
[087] train loss 0.60642 | recon 0.54753 | kl 2.86335 | smooth 2.15471 | trans 0.05413 | lle 0.00078 | beta 0.020
